"ProcessName","Id","Path"
"RefreshRateService","4836","C:\Program Files (x86)\ASUSTeK COMPUTER INC\RefreshRateService\RefreshRateService.exe"
"Registry","124",
"ROGLiveService","4912","C:\Program Files (x86)\ASUS\ROG Live Service\ROGLiveService.exe"
"RtkAudUService64","4880","C:\WINDOWS\System32\RtkAudUService64.exe"
"RtkAudUService64","15472","C:\Windows\System32\RtkAudUService64.exe"
"RtkBtManServ","4888","C:\WINDOWS\RtkBtManServ.exe"
"rundll32","6292","C:\WINDOWS\system32\rundll32.exe"
"rundll32","15908","C:\WINDOWS\system32\rundll32.exe"
"RuntimeBroker","6632","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","9380","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","10252","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","10784","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","12184","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","14860","C:\Windows\System32\RuntimeBroker.exe"
"SearchApp","13540","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"SearchApp","19968","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"
"SearchIndexer","11660","C:\WINDOWS\system32\SearchIndexer.exe"
"SecurityHealthService","10016",
"services","532",
"SettingSyncHost","11488","C:\WINDOWS\system32\SettingSyncHost.exe"
"SgrmBroker","4192",
"ShellExperienceHost","8980","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"sihost","7172","C:\WINDOWS\system32\sihost.exe"
"smartscreen","11692","C:\Windows\System32\smartscreen.exe"
"smss","508",
"spoolsv","4108","C:\WINDOWS\System32\spoolsv.exe"
"Spotify","3148","C:\Users\Trevo\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","8660","C:\Users\Trevo\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","16280","C:\Users\Trevo\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","16924","C:\Users\Trevo\AppData\Roaming\Spotify\Spotify.exe"
"Spotify","18376","C:\Users\Trevo\AppData\Roaming\Spotify\Spotify.exe"
