"ServiceName","DisplayName","DependentServices","ServiceType","Status"
"SDRSVC","Windows Backup","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"seclogon","Secondary Logon","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"SecurityHealthService","Windows Security Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"SEMgrSvc","Payments and NFC/SE Manager","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"SENS","System Event Notification Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"SgrmBroker","System Guard Runtime Monitor Broker","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"ShellHWDetection","Shell Hardware Detection","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Spooler","Print Spooler","System.ServiceProcess.ServiceController[]","Win32OwnProcess, InteractiveProcess","Running"
"SSDPSRV","SSDP Discovery","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"SstpSvc","Secure Socket Tunneling Protocol Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"StateRepository","State Repository Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Steam Client Service","Steam Client Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"StorSvc","Storage Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"SysMain","SysMain","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"SystemEventsBroker","System Events Broker","System.ServiceProcess.ServiceController[]","Win32ShareProcess","Running"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Themes","Themes","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"TimeBrokerSvc","Time Broker","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"TokenBroker","Web Account Manager","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"TrkWks","Distributed Link Tracking Client","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"UnistoreSvc_8cd18","User Data Storage_8cd18","System.ServiceProcess.ServiceController[]","224","Running"
"USBChargerService","USBChargerService","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"UserDataSvc_8cd18","User Data Access_8cd18","System.ServiceProcess.ServiceController[]","224","Running"
"UserManager","User Manager","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"UsoSvc","Update Orchestrator Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"VaultSvc","Credential Manager","System.ServiceProcess.ServiceController[]","Win32ShareProcess","Running"
"VirtualDesktop.Service.exe","Virtual Desktop Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"W32Time","Windows Time","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Wcmsvc","Windows Connection Manager","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"WdiServiceHost","Diagnostic Service Host","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WdiSystemHost","Diagnostic System Host","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"WinDefend","Microsoft Defender Antivirus Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"Winmgmt","Windows Management Instrumentation","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WlanSvc","WLAN AutoConfig","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"wlidsvc","Microsoft Account Sign-in Assistant","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WpnService","Windows Push Notifications System Service","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WpnUserService_8cd18","Windows Push Notifications User Service_8cd18","System.ServiceProcess.ServiceController[]","240","Running"
"wscsvc","Security Center","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
"WSearch","Windows Search","System.ServiceProcess.ServiceController[]","Win32OwnProcess","Running"
"wuauserv","Windows Update","System.ServiceProcess.ServiceController[]","Win32OwnProcess, Win32ShareProcess","Running"
